FIPStxt,PCTPOVALL_2013,POP_ESTIMATE_2013,Unemployment_rate_2013,bachelor_or_higher_2013
17053,11.4,"13,814",7.8,16.3
17055,20.0,"39,572",12.0,13.1
17057,14.8,"36,369",10.9,14.5
17059,17.1,"5,401",9.6,12.0
17061,18.3,"13,617",8.8,12.9
17063,8.0,"50,149",11.5,20.2
17065,14.9,"8,329",7.7,15.7
17067,12.2,"18,531",8.7,18.4
17069,20.3,"4,158",11.7,12.2
17071,12.8,"6,909",7.9,15.7
17073,11.2,"49,750",7.8,19.8
17075,14.0,"29,017",8.5,14.6
17077,29.5,"59,981",8.1,35.1
17079,10.5,"9,577",8.1,16.2
17081,18.4,"38,721",9.4,15.9
17083,10.5,"22,638",9.0,16.2
17085,10.2,"22,218",7.7,23.7
17087,17.9,"12,648",12.4,15.1
17089,10.9,"524,277",8.7,31.7
17091,16.7,"112,193",10.5,17.1
17093,5.8,"119,525",8.3,34.2
17095,19.6,"52,235",8.9,17.0
17097,9.5,"704,000",8.1,41.9
17099,13.8,"112,039",10.5,15.9
17101,18.2,"16,683",9.9,8.4
17103,12.4,"34,881",8.3,16.0
17105,12.5,"38,243",8.2,14.5
17107,13.6,"29,943",8.2,16.2
17109,21.1,"32,420",8.4,33.3
17111,7.1,"307,367",8.5,32.4
17113,13.8,"174,893",6.6,42.8
17115,18.1,"109,435",11.5,22.3
17117,13.9,"46,892",9.5,15.9
17119,13.7,"267,247",8.9,24.4
17121,19.2,"38,646",10.2,13.9
17123,10.2,"12,140",9.0,17.0
17125,14.0,"14,187",11.0,14.2
17127,17.5,"14,980",9.8,16.7
17129,10.8,"12,608",7.1,22.1
17131,9.7,"16,123",7.9,14.7
17133,4.9,"33,570",6.7,25.9
17135,16.1,"29,671",11.0,12.1
17137,16.0,"35,038",8.0,20.7
17139,12.4,"14,903",7.3,14.1
17141,13.0,"52,377",9.9,19.9
17143,17.0,"188,529",9.7,28.9
17145,17.6,"21,861",11.2,14.3
17147,7.2,"16,440",7.3,26.5
17149,17.3,"16,142",7.5,13.5
17151,19.9,"4,332",9.3,13.5
17153,21.5,"5,904",12.4,12.0
